Serial Number,Song Name,Hebrew Date Folder,Singer,Copied Drive ID
1,הנני העני ממעש,סינגלים,יוסלה רוזנבלט,1SnMFiskDaAq36SjqQ6IDkBw6HWaAkHSD
2,יודוך רעיוני,סינגלים,יעקב יצחק רויזנפלד,1ZV6BlCb1SR4EWKmqhGdWn9kBE8hVgZoz
3,ושמרו,סינגלים,יעקב יצחק רויזנפלד,1iNm95lOTkQCoMgxWe8rdw9QwlO1x1YSL
4,החזן העולמי יצחק מאיר הלפגוט עם ביצוע ליוסלה רוזנבלט,סינגלים,יצחק מאיר הלפגוט,17gUjGxMTY14ZdftFBayuEovGtrcVv_d1
5,יצחק מאיר הלפגוט ויצחק פרלמן כל נדרי,סינגלים,יצחק מאיר הלפגוט,1WdpwqqRmwWHAz0_eTjU5LvJYk1T1Cpsl
6,רפי ביטון & יצחק מאיר הלפגוט - אבינו אתה,סינגלים,יצחק מאיר הלפגוט,1e-xdbojPBR6LuraKX8V4y_8VOxamfv3H
7,משה ואהרן ,סינגלים,יצחק מאיר הלפגוט,1lCfxBlURmrF1vK6abzdYsuWxq83Xzryd
8,ממקומך,סינגלים,אברהם יעקב טיילור,1D5WYdT7x-5Z0xCxQKFDujpi6cetJsh8v
9,מנוחה ושמחה,סינגלים,אליעזר חרל''פ,1x9jBX_ZzmxCnpXx0KsexXu4rSJqmpGA8
10,אב הרחמים,סינגלים,צודיק גרינוולד,1qQIMwrwBplVXDDazh230r2kl0AzmuTPq
11,השיר שהלווים,סינגלים,צודיק גרינוולד,1bK-nOHezhntZ034tyPiA3q78JwhLeXVU
12,צודיק גרינוולד ובנו אב הרחמים לחן יוסי גרין,סינגלים,צודיק גרינוולד,1gD4owolSfHhS-Vcx5Z4miP0Il5wnK9aI
13,אם אשכחך,סינגלים,שרוליק הרשטיק,1WLxW5LSAXpmzUqm-WKRzvNoEK769qoSm
14,תניא,סינגלים,שרוליק הרשטיק,1rIXAvRVBwqHgNRiHAsGF73Cqr5Aw6-vL
15,החזן לייזר ברוק מבצע את היצירה הנודעת רזא דשבת,סינגלים,לייזר ברוק,1tFA829cr96W7ZSkCPBJ2SaKIRF8s3NmU
